Unnamed:_0,TIN,Taxpayer,Tax_Account_No,Tax_Type,Tax_Period_Year,Assessment_No,Received_Date_,Entry_Date,Due_Date,Form_No,Form_Version_No,IRC_Form_Version_No,Form_Description,10.Gross_sales_(cash_/_credit,11.Gross_contract_and_sub-con,12.Partnership_distribution_i,13.Distributions_from_trusts,14.Oil_pipeline_tariffs_and_r,15.Dividend_income,16.Exchange_gains_/_losses,17.Interest_income,18.Rental_income,19.Royalty_income,20.Other_gross_income,90.TOTAL_GROSS_INCOME,100.Cost_of_goods_sold,101.Rented_property_expenses_i,102.Resource_operations_joint_,103.Amortisation,104.Advertising_and_promotion,105.Bad_debts_written_off,106.Borrowing_expenses,107.Commissions,108.Contract_employees,109.Consultancy_fees,110.Consumables,111.Depreciation,112.Development_levy,113.Directors'_fees_and_expens,114.Entertainment_expenses,115.Foreign_exchange_losses_/_,116.Gifts_and_donations,117.Insurance,118.Interest_expense_-_PNG,119.Interest_expense_-_Foreign,120.Lease_payments,121.Legal_expenses,122.Management_fees_-_PNG,123.Management_fees_-_Foreign,124.Motor_vehicle_expenses,125.Repairs_and_maintenance,126.Rental_expenses,127.Royalties_-_PNG,128.Royalties_-_Foreign,129.Salaries_/_wages,130.Superannuation_-_PNG,131.Superannuation_-_Foreign,132.Travel_and_accommodation,133.All_other_expenses,190.TOTAL_OPERATING_EXPENSES,200.Amortisation_charged_in_th,201.Depreciation_charged_in_th,202.Non-allowable_capital_expe,203.Increase_in_provisions_and,204.Income_Tax_(if_claimed_in_,205.Non-allowable_donations_or,206.Non-allowable_legal_expens,207.Goodwill_or_formation_expe,208.Recouped_lease_premiums,209.Excess_management_fees_(S6,210.Excess_interest_deductions,211.Other_items_not_allowable_,290.TOTAL_NON-DEDUCTIBLE_ITEMS,300.Non-assessable_income,301.Depreciation_for_tax_purpo,302.Depreciation-IncentiveOnly,303.Allowable_exploration_dedu,304.Allowable_capital_expendit,305.Allowable_capital_expendit,306.Section_155N_Inc.deduction,307.Double_deductions,308.Prior_Year_Losses_Utilised,309.Other_tax_deductible_items,310.Net_exempt_income,311.Res._royalty_and_dev.levy_,312.Other_Tax_Deductible_Items,390.TOTAL_DEDUCTIBLE_ITEMS_(ex,400.Dividend_rebate_(S216),401.Foreign_taxes_paid_(S219),402.Resource_royalty_and_devel,490.TOTAL_OTHER_CREDITS_AND_RE,500.Cash_/_Investments,501.Inventory_(closing_stock),502.Accounts_receivable_(trade,503.Pre-paid_Expenses,504.Other,515.TOTAL_CURRENT_ASSETS,520.Property_/_Equipment,521.Leasehold_Improvements,522.Equity_/_Other_Investments,523.Other,524.LESS_Accumulated_depreciat,535.TOTAL_FIXED_ASSETS,536.TOTAL_ASSETS,540.Accounts_payable,541.Accrued_salary_/_wages,542.Taxes_and_fees_payable,543.Unearned_revenue,544.Other,555.TOTAL_CURRENT_LIABILITIES,560.Mortgage,561.Loans_from_directors,562.Other_loans,563.Other_long-term_liabilitie,575.TOTAL_LONG-TERM_LIABILITIE,590.TOTAL_LIABILITIES,600.35_Interest,601.35A_Fishing_operations,602.42_Dividends,603.45B_Export_sales,604.45I_Rural_development_ince,605.45N_Bougainville_incentive,606.68A_Solar_heating,607.69A_Gifts_-_Sporting_bodie,"608.69C_Gifts_-_Law,_order,_an",609.69E_Gifts_-_Charitable_org,610.69H_Gifts_-_Law_/_order_pr,611.69I_Gifts_-_National_day_c,612.69K_Gifts_-_PNG_Sports_Fed,613.69M_Island_Forum,614.70A_Education_expenses_(in,615.72A_Double_deduction_-_Sta,616.72C_Double_deduction_-_Exp,617.72C_Double_deduction_-_Exp,618.73(3)_Depreciation_-_20%_l,619.73(4)_Depreciation_-_Fuel_,620.73(5)_Depreciation_-_Non-o,621.73(6)_Depreciation_-_Non-o,622.73(7)_Depreciation_-_Indus,623.73(9)_Depreciation_-_Prima,624.95(1)_Research_/_Developme,625.97A_Primary_production_dev,626.97B(1)_150%_Extension_serv,627.155J_Double_deduction_-_Un,628.155N_Amortisation_-_Explor,629.156D_Amortisation_-_Explor,630.156E_Double_deduction_-_Ex,631.158J_Amortisation_-_Allowa,632.Ch119_Pioneer_industries,633.219_Current_year_approved,634.219D_Expenditure_for_the_p,635.Other,690.TOTAL_Enter_the_sum_of_all,710.Current_Year_Profit_/_Loss,715.Loss_Utilised_From_Prior_Y,718.TAXABLE_INCOME,720.GROSS_TAX_,"730.Less_Other_Credits,_Rebate",740.GROSS_TAX_NET_OF_OTHER_CRE,750.Plus_Additional_Profits_Ta,755.Total_Tax_Payable,760.Less_Infrastructure_develo,770.Less_Interest_Withholding_,780.Less_Business_Payments_Tax,781.Total_Tax_To_Pay_(After_In,790.Less_Prov_Tax_-_APT,800.NET_TAX_PAYABLE_/_(REFUNDA,801.Instalment_basis_for_futur,901.Total_DIRECTOR'S_FEES,902.Total_SALARY_OR_WAGES,903.Total_ALLOWANCES,904.Total_SALARY/WAGES_TAX_DED,911.Total_BPT__INCOME,912.Total_BPT_TAX_DEDUCTED,919.SCHEDULE_3,920.Total_dividends_paid_durin,921.Total_DWT_due,922.LESS_DWT_paid,923.TOTAL_1_-_DIVIDENDS_PAID_(,924.Total_GROSS_DIVIDEND_OR_DI,925.Total_DWT_DEDUCTED,926.Total_DIVIDEND_FOREIGN_TAX,927.ADD_DWT_or_UTWT_carried_fo,928.TOTAL_2_(DWT_deducted_plus,929.BALANCE_PAYABLE_/_(OR_TO_B,931.Total_GROSS_INTEREST_PAID,932.Total_IWT_DEDUCTED,933.FOREIGN_TAX_PAID_(IF_APPLI,951.Total_TOTAL_RENT_PAID_DURI,966.ROYALTY_PAYMENTS_Tot._Paid,971.MANAGEMENT_FEES_Tot._Paid,976.FOREIGN_SHIPPING_Tot._AMO,981.SUPER_Total_FULLY-TAXED,982.SUPER_Total_EMPLOYER'S,983.SUPER_Total_EMPLOYEES',984.SUPER_Total_PAYOUTS,985.SUPER_Total_LOAN_BAL_START,986.SUPER_Total_INTEREST,987.SUPER_Total_REPAYMENTS,"988.SUPER_Total_LOAN,BAL_END",991.TOTAL_BENEFICIARY'S_SHARE,992.TOTAL_AMOUNT_Income_Deriv,Sector_Activity,Ent_Activity_Code,Enterprise_Activity,632.S219C_Infrastr.Develop._Cr,636.S35_Tax_Foregone,637.S35A_Tax_Foregone,638.S42_Tax_Foregone,639.S45I_Tax_Foregone,640.S68A_Tax_Foregone,641.S69A_Tax_Foregone,642.S69C_Tax_Foregone,643.S69E_Tax_Foregone,644.S69H_Tax_Foregone,645.S72C_D.Ded.Manufac,646.S72C_D.Ded.Tourism,647.S73(3)_Tax_Foregone,648.S73(4)_Tax_Foregone,649.S73(5)_Tax_Foregone,650.S73(6)_Tax_Foregone,651.S73(7)_Tax_Foregone,652.S73(9)_Tax_Foregone,653.S95(1)_Tax_Foregone,654.S97A_Tax_Foregone,655.S97B(1)_Tax_Foregone,656.S155J_Tax_Foregone,657.S155N_Tax_Foregone,658.S156D_Tax_Foregone,659.S158J_Tax_Foregone,660.S219C_Tax_Foregone,661.Other_Tax_Foregone,689.TOTAL_Tax_Revenue_Foregone,763.Less_Res.Royalty/Dev_levy,782.Tot.Tax_To_Pay_(AfterRRDCr,Assessed_Date,1.Percentage_of_gross_sales,311.Res_royalty_and_dev_levy.1,Total_Sales_Revenue,Total_Distributions_Royalties,Total_Investment_Income,Total_Other_Income,Total_Cost_of_Goods_Sold,Total_Property_Rental_Expenses,Total_Resource_Operations,Total_Depreciation_Amortization,Total_Marketing_Promotion,Total_Financial_Expenses,Total_Employee_Expenses,Total_Professional_Fees,Total_Operational_Expenses,Total_Amortization_Depreciation,Total_Non_Allowable_Capital_Expenses,Total_Provisions_Taxes,Total_Non_Allowable_Donations_Legal,Total_Goodwill_Formation_Expenses,Total_Recouped_Lease_Premiums,Total_Excess_Fees_Interest,Total_Other_Non_Allowable_Items,Total_Non_Assessable_Income,Total_Depreciation,Total_Exploration_Capital_Expenditure,Total_Section_Specific_Deductions,Total_Prior_Year_Losses,Total_Other_Deductible_Items,Total_Net_Exempt_Income,Total_Resource_Royalty_Dev_Levy,Total_Dividend_Rebate,Total_Foreign_Taxes_Paid,Total_Resource_Royalty_Development,Total_Current_Assets,Total_Fixed_Assets,Total_Current_Liabilities,Total_Long_Term_Liabilities,Total_Tax_Incentives_Deductions,Total_Taxable_Income_Tax_Payable,Total_Section_Specific_Tax_Foregone,Total_Other_Tax_Foregone,Total_Directors_Salary_Related,Total_Business_Payments_Tax,Total_Dividends,Total_Interest_Withholding_Tax,Total_Rent_Royalty_Payments,Total_Management_Foreign_Shipping_Fees,Total_Superannuation_Payments,Total_Loan_Related_Payments,Total_Liabilities,Total_Gross_Income,Non_Operating_Income
0,500000009,WESTPAC BANK (PNG) LTD,32920,CORPORATE INCOME TAX,2015,1517605,30-06-2016,14-12-2018,30-06-2016,39,4,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,0,0,0,0,0,0,75963647,224381154,0,0,49290663,349635464,0,0,0,0,993098,780305,0,2935,0,0,0,7189430,0,220000,590422,-3663,0,251958,20804523,0,0,1016331,0,11560428,365813,1108922,10152769,0,0,0,1722353,0,1422205,61113193,119291022,0,7189430,0,0,0,590422,91934,0,0,0,0,106293923,114165709,0,39792568,0,0,0,0,0,132913,0,78250578,0,,,118176059,0,0,0,0,1435684,0,0,0,17430,1453114,0,0,0,3005009,0,3005009,4458123,109649,0,0,0,3383825,3493474,0,0,0,0,0,3493474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132913,226334092,0,226334092,67900227.6,0,67900227.6,0,67900227.6,0,0,0,67900227.6,72000001.34,-4099773.74,67900227.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8000 FINANCE, INSURANCE, BUSINESS SERVICES AND REAL ESTATE ACTIVITIES",8110,BANKS AND SAVING AND LOAN SOCIETIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,224381154,125254310,0,10152769,0,7189430,993098,21584828,1722353,12579694,65068850,7189430,0,0,682356,0,0,0,106293923,0,14378860,0,132913,0,,0,,0,0,0,1453114,3005009,3493474,0,132913,860069549.6,0,,0,0,0,0,0,0,0,0,3493474,349635464,125254310
1,500000009,WESTPAC BANK (PNG) LTD,32920,CORPORATE INCOME TAX,2016,1517669,07-07-2017,14-12-2018,03-07-2017,39,5,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,0,0,0,0,0,0,83362634.23,213729383.1,0,0,58496784.17,355588801.5,0,0,0,0,569578.85,1483486.48,0,1630.3,0,0,0,9479780.89,0,219996,487512.69,-3727.98,253471.59,411819.87,15190755.62,0,0,945662.23,0,17149164.16,343057.2,1633152.29,10517018.04,0,0,27713679.12,1664056.43,0,37992.33,35453057.5,123551143.6,0,9320780.89,0,0,0,498073.81,68903.2,0,0,0,0,80050455.34,89938213.24,0,27338301.86,0,0,0,0,0,41796.59,0,72689006.45,0,,,100069104.9,0,0,0,0,913258.98,0,0,0,62034.87,975293.85,56194.68,58917.09,0,3195595.99,0,3310707.76,4286001.61,205367.29,0,0,0,3120322.26,3325689.55,0,0,0,0,0,3325689.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41796.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41796.59,221906766.2,0,221906766.2,66572029.87,0,66572029.87,0,66572029.87,0,0,0,66572029.87,68988493.23,-2416463.36,66572029.87,87500,0,12000,41790,0,0,0,146155800,22409762.27,22409762.27,123746037.7,0,0,0,0,0,123746037.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8000 FINANCE, INSURANCE, BUSINESS SERVICES AND REAL ESTATE ACTIVITIES",8110,BANKS AND SAVING AND LOAN SOCIETIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,213729383.1,141859418.4,0,10517018.04,0,9479780.89,569578.85,16674242.1,29377735.55,18096456.69,38836331.49,9320780.89,0,0,566977.01,0,0,0,80050455.34,0,18800561.78,0,41796.59,0,,0,,0,0,0,975293.85,3310707.76,3325689.55,0,41796.59,843245711.7,0,,141290,0,438467400,0,0,0,0,0,3325689.55,355588801.5,141859418.4
2,500000009,WESTPAC BANK (PNG) LTD,32920,CORPORATE INCOME TAX,2017,1517715,02-10-2018,14-12-2018,02-07-2018,39,6,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,0,0,0,0,0,0,4846,205452002,0,0,141613648,347070496,0,0,0,4293973,422672,984704,0,0,0,0,0,14718291,0,118739,396360,0,16453,287195,6881378,0,0,930407,0,16320246,358667,2622882,11420496.78,0,0,33560173,1742196,0,1970593,35226022,132271447.8,4293973,14718291,0,0,0,396359.72,116598,0,0,0,0,81803470.86,101328692.6,0,24485511.1,0,0,0,0,0,0,0,58635394.64,0,,,83120905.74,0,0,0,0,1789780711,0,0,0,122770922,1912551633,132537730,0,0,1722955469,71853898,1783639301,3696190934,0,0,0,0,2698724329,2698724329,0,0,0,0,0,2698724329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233006835.1,0,233006835.1,69902050.52,0,69902050.52,0,69902050.52,0,0,0,69902050.52,66000000,3902050.52,69902050.52,139000,0,0,60060,0,0,0,136616703,20499566.91,20499566.91,116117136.1,0,0,0,0,0,116117136.1,205452001.9,0,0,11420496.78,512012,16174037.33,0,0,0,0,0,0,0,0,0,0,0,"8000 FINANCE, INSURANCE, BUSINESS SERVICES AND REAL ESTATE ACTIVITIES",8110,BANKS AND SAVING AND LOAN SOCIETIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,205452002,141618494,0,11420496.78,0,19012264,422672,7866082,35302369,17250653,40996911,19012264,0,0,512957.72,0,0,0,81803470.86,0,29436582,0,0,0,,0,,0,0,0,1912551633,1927347097,2698724329,0,0,885425973.2,0,,199060,0,409850108.9,205452001.9,11932508.78,16174037.33,0,0,2698724329,347070496,141618494
3,500000009,WESTPAC BANK (PNG) LTD,32920,CORPORATE INCOME TAX,2018,1771395,30-06-2019,26-07-2019,01-07-2019,39,7,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,0,0,0,0,0,0,3539,201457832,0,0,137987077,339448448,0,0,0,5383123,679465,654923,0,0,0,0,0,11040732,0,141443,283649,0,185160,336237,6832307,0,0,898736.21,0,22479049,424327,1379326,14329733,0,0,35747975,1179201,682579,1046735,37940305,141645005.2,5383123,11040732,0,0,0,283649,100311,0,0,0,0,71329662,88137477,0,22949565,0,0,0,0,0,0,0,0,0,0,62610196,85559761,0,0,,0,1967718711,0,0,3334776,0,1971053487,144738116,0,33300,1672833347,87578436,1730026327,3701079814,0,0,0,0,2437400175,2437400175,0,0,0,276878521,276878521,2714278696,0,0,0,,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,200381158.8,0,200381158.8,60114347.64,0,60114347.64,0,60114347.64,0,0,0,60114347.64,66000000,-5885652.36,60114347.64,260265,0,0,91920.32,0,0,0,98190084.89,14728512.74,14728512.74,83461572.15,0,0,0,0,0,83461572.15,201457831.8,0,0,14329733,338810.7,22479048.19,0,0,0,0,0,0,0,0,0,0,0,"8000 FINANCE, INSURANCE, BUSINESS SERVICES AND REAL ESTATE ACTIVITIES",8110,BANKS AND SAVING AND LOAN SOCIETIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,201457832,137990616,0,14329733,0,16423855,679465,7487230,37609755,23377785.21,41737182,16423855,0,0,383960,0,0,0,71329662,0,22081464,0,0,0,62610196,0,0,0,0,,1971053487,1905183199,2437400175,276878521,0,761448403.4,0,,352185.32,0,294570254.7,201457831.8,14668543.7,22479048.19,0,0,2714278696,339448448,137990616
4,500000036,BANK OF SOUTH PACIFIC LIMITED,35269,CORPORATE INCOME TAX,2015,324472,30-06-2016,04-07-2016,30-06-2016,39,4,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,0,0,0,0,0,0,0,990183000,0,0,501657000,1491840000,0,0,0,44223948,10666342,74841824,0,3305489,0,8995159,57869,67607204,0,1781153.47,775737,0,814065,4563371,0,0,0,2586623,0,0,0,35132033,43145336,0,0,191745148,11079437,152901.47,6958820,255271389.1,763703849,44223948,67607204,0,78820569.95,0,775737,526339.9,0,0,0,0,793845108.2,985798907,0,106923159,0,0,0,0,0,0,0,736678334,0,,,843601493,2073,29218338,0,29220411,7500286000,0,8181227000,0,842757000,16524270000,597373000,0,0,0,0,597373000,17121643000,344877000,0,36168000,0,14380831000,14761876000,0,0,0,428777000,428777000,15190653000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155025.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6460379,3552440,10167844.9,870333565,0,870333565,261100069.5,29220411,231879658.5,0,231879658.5,0,0,0,231879658.5,189866521,42013137.5,231879658.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8000 FINANCE, INSURANCE, BUSINESS SERVICES AND REAL ESTATE ACTIVITIES",8110,BANKS AND SAVING AND LOAN SOCIETIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,990183000,501657000,0,43145336,0,111831152,10666342,74841824,202977486.5,14887271,305354437.5,111831152,0,78820569.95,1302076.9,0,0,0,793845108.2,0,135214408,0,0,0,,0,,2073,29218338,0,16524270000,597373000,14761876000,428777000,10167844.9,3190385903,0,,0,0,0,0,0,0,0,0,15190653000,1491840000,501657000
5,500000036,BANK OF SOUTH PACIFIC LIMITED,35269,CORPORATE INCOME TAX,2016,1080585,29-06-2017,14-02-2018,03-07-2017,39,5,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,0,0,0,0,0,0,0,1060888099,0,0,617809466,1678697565,0,0,0,30521652.48,6093088.13,73028745.52,0,906050.75,0,8382296.71,100902.88,58299341.95,0,1935271.68,1163932.9,0,808204.35,5191939.72,160197329,0,0,1922833.84,0,0,0,51095418,51167194,0,0,219939689.6,12374713.29,171371.49,7774337,108525412.7,799599726,30521652.48,58299525.74,0,67766792.3,0,1163932.9,506547.66,0,0,0,0,839167399.9,997425851,0,188586402.5,0,0,0,0,0,0,0,730832090.1,0,,,919418492.7,1054045.1,37512370.42,0,38566415.52,6460174423,0,9255080324,0,2942903116,18658157863,847675065,0,0,0,278506928,569168137,19227326000,16547043359,0,0,0,520832641,17067876000,0,0,0,0,0,17067876000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107508.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10378653.01,0,10486161.61,957105197.3,0,957105197.3,287131559.2,38566415.52,248565143.7,0,248565143.7,10378653.01,29000,0,238186490.7,248931401.7,-10773911.02,238157490.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8000 FINANCE, INSURANCE, BUSINESS SERVICES AND REAL ESTATE ACTIVITIES",8110,BANKS AND SAVING AND LOAN SOCIETIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1060888099,617809466,0,51167194,0,88820994.43,6093088.13,233226074.5,232485774.4,11211181.3,176595419.2,88821178.22,0,67766792.3,1670480.56,0,0,0,839167399.9,0,116598867.7,0,0,0,,0,,1054045.1,37512370.42,0,18658157863,1126181993,17067876000,0,10486161.61,3461947782,0,,0,0,0,0,0,0,0,0,17067876000,1678697565,617809466
6,500000036,BANK OF SOUTH PACIFIC LIMITED,35269,CORPORATE INCOME TAX,2017,1298164,28-06-2018,04-07-2018,02-07-2018,39,6,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,0,0,0,0,0,33072430.85,0,1349134295,0,0,622905569.2,2005112295,0,0,0,26358638.95,5629734.94,81038420.09,0,188862.56,0,13825121.46,214591.44,61700875.71,0,1961458.04,908952.04,0,790803.12,11103231,141106447.3,0,0,3912060,0,0,0,47785630.55,62314953,0,0,264232738.2,12889972.62,179579.4,7502303,247213642.6,990858016,26358638.95,61700875.71,0,68168898.53,0,908952.04,527226.73,0,0,0,0,898298465,1055963057,0,82815908.89,0,0,0,0,0,0,0,847532263.1,0,,,930348172,9921729.26,37732715.99,0,47654445.25,8763738510,0,10094470443,0,931159000,19789367953,849132296,0,0,0,274827296,574305000,20363672953,17281321850,0,0,0,671349150,17952671000,0,0,0,0,0,17952671000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135965.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135965.76,1139869164,0,1139869164,341960749.2,47654445.25,294306304,0,294306304,0,0,0,294306304,257210088,37096215.95,294306304,1909429,720558.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349134295,0,0,62314953,0,6681072.33,0,0,0,0,0,0,0,0,0,0,0,"8000 FINANCE, INSURANCE, BUSINESS SERVICES AND REAL ESTATE ACTIVITIES",8110,BANKS AND SAVING AND LOAN SOCIETIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1382206726,622905569.2,0,62314953,0,88059514.66,5629734.94,222144867.4,277302290.2,17926044.02,317480611.8,88059514.66,0,68168898.53,1436178.77,0,0,0,898298465,0,123401751.4,0,0,0,,0,,9921729.26,37732715.99,0,19789367953,1123959592,17952671000,0,135965.76,4140885042,0,,2629987.84,0,0,1349134295,62314953,6681072.33,0,0,17952671000,2005112295,622905569.2
7,500000036,BANK OF SOUTH PACIFIC LIMITED,35269,CORPORATE INCOME TAX,2018,1680477,09-04-2019,08-05-2019,01-07-2019,39,7,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,0,0,0,0,0,26385865.91,0,1460484000,0,0,675031121.1,2161900987,0,0,0,22546197.16,5475853.48,75673049.35,0,651414.93,0,10467378.31,202862.71,64572263.43,0,4559089.27,1256228.24,0,2639486.49,12367527.25,166089654.2,0,0,1719045.31,0,0,0,56858754.82,46969035,0,0,272330947.9,14021003.41,185281.04,3462222,283313000,1045360294,22546197.16,64572263.43,0,56196757.96,0,1256228.24,0,0,0,0,0,985255607.4,1129827054,0,81032498.94,0,0,0,0,0,0,0,0,0,0,971799433.9,1052831933,7915759.77,46373922.71,,54289682.48,7939151000,0,11232725000,0,986323000,20158199000,822633000,0,0,0,284452000,538181000,20696380000,17726151000,0,0,0,369343000,18095494000,0,0,0,0,0,18095494000,0,0,0,,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,1193535814,0,1193535814,358060744.2,54289682.48,303771061.7,0,303771061.7,0,0,0,303771061.7,317397768.7,-13626706.98,303771061.7,3199820,0,0,1303944.25,0,0,0,601698379.3,10817880.11,10817880.11,590880499.2,0,0,0,0,0,590880499.2,1460484000,0,0,46969035,0,0,0,0,0,0,0,0,0,0,0,0,0,"8000 FINANCE, INSURANCE, BUSINESS SERVICES AND REAL ESTATE ACTIVITIES",8110,BANKS AND SAVING AND LOAN SOCIETIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1486869866,675031121.1,0,46969035,0,87118460.59,5475853.48,241762703.6,286537232.3,12837838.55,364659170.8,87118460.59,0,56196757.96,1256228.24,0,0,0,985255607.4,0,129144526.9,0,0,0,971799433.9,0,0,7915759.77,46373922.71,,20158199000,1107085000,18095494000,0,0,4318277364,0,,4503764.25,0,1805095138,1460484000,46969035,0,0,0,18095494000,2161900987,675031121.1
8,500000045,PNG WATER LIMITED,190930,CORPORATE INCOME TAX,2015,1173665,10-06-2016,13-04-2018,28-09-2016,39,4,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,20438678,0,0,0,0,0,0,8965964,0,0,1876550,31281192,0,0,0,0,0,0,0,0,0,50000,0,0,0,61800,0,12221,17000,51,0,0,0,0,0,127200,0,0,12000,0,0,50400,0,0,11149,21355101,21696922,0,0,0,0,0,17000,0,0,0,0,0,928,17928,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,20718401,0,3962553,0,17091967,41772921,179476,0,0,40107277,179462,40107291,81880212,1595528,0,200272,0,2836735,4632535,0,0,0,0,0,4632535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9602198,0,9602198,2880659.4,0,2880659.4,0,2880659.4,0,29980,0,2880659.4,4175298,-1324618.6,2850679.4,61800,0,0,21800,0,0,0,33000000,3590400,3590400,29409600,0,0,0,0,0,29409600,8965964,29980,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,"4000 ELECTRICITY, GAS AND WATER SUPPLY",4300,"WATER COLLECTION, TREATMENT AND SUPPLY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20438678,0,8965964,1876550,0,12000,0,0,0,0,50400,177200,21457322,0,0,0,17000,0,0,0,928,0,0,0,0,0,,0,,0,0,0,41772921,40466215,4632535,0,0,36458372.4,0,,83600,0,99000000,8995944,12000,0,0,0,4632535,31281192,1876550
9,500000045,PNG WATER LIMITED,190930,CORPORATE INCOME TAX,2016,1173752,21-07-2017,13-04-2018,28-09-2017,39,5,CIT COY1 PT,CORPORATE INCOME TAX RETURN FORM 1 for PT Resident Company,21770429,0,0,0,0,0,0,7348874,0,0,2030393,31149696,22130429,0,0,0,0,0,0,0,0,50000,0,0,0,90000,0,-4186,60000,84,0,0,0,0,120000,0,0,0,12000,0,0,50400,0,0,18504,52845,22580076,0,0,0,0,0,60000,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,38819368,0,4206571,0,43216931,86242870,179476,0,0,0,179462,14,86242884,2055141,0,208859,0,750473,3014473,0,0,0,0,0,3014473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8629620,0,8629620,2588886,0,2588886,0,2588886,0,78052,0,2588886,3300000,-789166,2510834,90000,0,0,23400,0,0,0,0,0,0,0,0,0,0,0,0,0,7348874,78052,0,12000,0,120000,0,0,0,0,0,0,0,0,0,0,0,"4000 ELECTRICITY, GAS AND WATER SUPPLY",4300,"WATER COLLECTION, TREATMENT AND SUPPLY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21770429,0,7348874,2030393,22130429,12000,0,0,0,0,50400,170000,217247,0,0,0,60000,0,0,0,0,0,0,0,0,0,,0,,0,0,0,86242870,358938,3014473,0,0,32714504,0,,113400,0,0,7426926,12000,120000,0,0,3014473,31149696,2030393
